"WILLOW", 0, "シトラスの風味との相性がよく、フルーツのさわやかな酸味が特徴のコーヒーです。", "鮮やかな酸味と、わずかに感じられるシトラス感や深みが、複雑ながらも美しく響き合う、さわやかで優雅なコーヒーです。"
"LIGHTNOTE", 0,"ミルクチョコレートやナッツの風味との相性がよく、ソフトなココアと、軽く煎ったナッツが豊かに香る、軽めのコクに程よい酸味が特徴。穏やかで親しみやすいコーヒーです。", "ソフトなココアと、軽く煎ったナッツが豊かに香る、軽めのコクに程よい酸味が特徴。"
"BREAKFAST", 1, "鮮やかでシトラスの風味があり、さわやかな後味の軽やかなコーヒーです。", "やや浅めに焙煎された、軽めながらほどよいコクのブレンド。鮮やかでシトラス感とさわやかな後味が特徴。"
"KENYA", 1, "グレープフルーツやオレンジ、スグリやレーズン、ベリー類と相性のいいコーヒーです。", "他の生産地ではなかなか味わえない、グレープフルーツやブラックカラントの風味に鮮やかでジューシーな酸味が重なる刺激的でエキゾチックな味わいです。"
"PIKEPLACE", 1, "チョコレートナッツ、シナモンと相性が良く、ココアや煎ったナッツのようなほのかな香ばしさに、バランスのとれたなめらかな口あたりが特徴のコーヒーです。", "ココアや煎ったナッツのようなほのかな香ばしさに、バランスのとれたなめらかな口あたりが特徴のコーヒー。"
"GUATEMALA", 1, "チョコレート、りんご、キャラメルやナッツと相性が良く、チョコレートやかすかなスパイス、レモンを感じる上品な酸味が幾重にも重なる複雑ながらもエレガントで洗練されたコーヒーです。", "チョコレートやかすかなスパイス、レモンを感じる上品な酸味が幾重にも重なる複雑ながらもエレガントで洗練されたコーヒー。"
"ETHIOPIA", 1, "ダークチョコレート、ペッパーのようなスパイス、そしてシトラスの風味が特徴の、やわらかでベルベットのような口あたりのコーヒーです。", "ダークチョコレート、ペッパーのようなスパイス、そしてスイートシトラスの風味が特徴の、やわらかでベルベットのような口あたりのコーヒー。"
"HOUSE", 1, "りんごやブルーベリーと相性が良く、ナッツやココアの味わいが特徴で、香りやコクなど、すべてのバランスがよいコーヒー。", "ナッツやココアの味わいが特徴で、スターバックス ローストによって引き出された香りやコクなど、すべてのバランスがよいコーヒー。"
"COLOMBIA", 1, "クルミやピーカンなどナッツ類と相性が良く、ナッツを感じさせる風味が特徴のバランスのとれたコーヒー。", "ナッツを感じさせる風味が特徴のすっきりとしたバランスのとれたコーヒー。"
"SUMATRA", 2, "深みのあるしっかりとしたコクとなめらかな口あたり、ハーブや大地を思わせる風味が特徴。忘れがたい印象を残してくれるコーヒーです。", "深みのあるしっかりとしたコクとなめらかな口あたり、ハーブや大地を思わせる風味が特徴。"
"KOMODO", 2, "フレッシュなハーブ、スパイシーな余韻、大地を思わせる風味が複雑に重なり合う味わい。ワイルドでスケールの大きな力強いコーヒーです。", "フレッシュなハーブ、スパイシーな余韻、大地を思わせる風味が複雑に重なり合う味わい。ワイルドでスケールの大きな力強いコーヒーです。"
"VERONA", 2, "ダークココアのような口あたりで、バランスのとれた豊かな味わいのコーヒー。チョコレートと一緒に味わうとよりその甘みが引き立つ。しっかりとしたコクがある。", "ダークココアのような口あたりで、バランスのとれた豊かな味わいのコーヒー。"
"ESPRESSO", 2, "豊かなアロマとやわらかな酸味、濃厚でキャラメルのような甘みと深みを引き出す、長めにローストされ、しっかりとしたコクがあるコーヒーです。", "豊かなアロマとやわらかな酸味、濃厚でキャラメルのような甘みと深みを引き出す、長めにローストされたこのコーヒーは、スチームミルクと相性ぴったりです。"
"ITALIAN", 2, "カラメルを感じさせるリッチで深みのある力強い風味が特徴。甘味と力強さが際立つ、スターバックスを代表するダーク ローストコーヒーです。", "カラメルを感じさせるリッチで深みのある力強い風味が特徴。甘味と力強さが際立つ、スターバックスを代表するダーク ローストコーヒーです。"
"FRENCH", 2, "ぎりぎりまでローストしたスターバックスで最も深煎りの、強烈なスモーキーさが特徴です。", "ぎりぎりまでローストしたスターバックスで最も深煎りの、強烈なスモーキーさが特徴のブレンド コーヒーです。"
"CHRISTMAS-ESPRESSO", 2, "エスプレッソ ローストのレベルまでローストすることにより、より深いコクとロースト感にハーブをともなう風味、カラメルのような甘みを引き出しました。深煎りに仕上げた、力強い味わいのクリスマス ブレンドです。", "エスプレッソ ローストのレベルまでローストすることにより、より深いコクとロースト感にハーブをともなう風味、カラメルのような甘みを引き出しました。"
